top_words
"['subscript', 'problem', 'kind', 'issu', 'describ', 'activ', 'use', 'pro', 'canva', 'account', 'purchas', 'pleas', 'want', 'cancel', 'say', 'renew', 'yearli', 'charg', 'thank', 'thi', 'access', 'like', 'longer', 'won', 'wa', 'tri', 'dont', 'superscript', 'let', 'contact']"
"['someon', 'contact', 'pleas', 'number', 'issu', 'kind', 'problem', 'describ', 'need', 'account', 'email', 'canva', 'use', 'help', 'question', 'tri', 'charg', 'thi', 'thank', 'asap', 'regard', 've', 'pay', 'reach', 'sever', 'upload', 'hello', 'day', 'subscript', 'say']"
"['usersnap', 'report', 'url', 'id', 'problem', 'issu', 'describ', 'kind', 'whi', 'thi', 'pro', 'canva', 'help', 'contact', 'team', 'time', 'pleas', 'need', 'tri', 'ca', 'account', 'charg', 'subscript', 'appear', 'templat', 'phone', 'save', 'type', 'number', 'word']"
"['hello', 'problem', 'type', 'contact', 'describ', 'thank', 'account', 'canva', 'want', 'pleas', 'subscript', 'thi', 'kind', 'phone', 'help', 'like', 'wa', 'week', 'regard', 'appear', 'alreadi', 'imag', 'email', 'abl', 'issu', 'pro', 'send', 'backup', 'inform', 'address']"
"['compani', 'account', 'problem', 'thi', 'email', 'describ', 'canva', 'thank', 'kind', 'issu', 'hello', 'number', 'person', 'longer', 'contact', 'pleas', 'need', 'want', 'help', 'use', 'pro', 'ha', 'hi', 'cancel', 'like', 'card', 'inform', 'type', 'charg', 'work']"
"['speak', 'someon', 'need', 'issu', 'problem', 'describ', 'kind', 'phone', 'person', 'email', 'account', 'number', 'help', 'like', 'team', 'pleas', 'live', 'thank', 'custom', 'charg', 'possibl', 'human', 'order', 'servic', 'question', 'cancel', 'type', 'real', 'respond', 'pro']"
"['issu', 'kind', 'describ', 'problem', 'pleas', 'help', 'need', 'account', 'want', 'use', 'thi']"
"['templat', 'problem', 'issu', 'premium', 'describ', 'kind', 'did', 'size', 'use', 'pro', 'dimens', 'hi', 'unabl', 'purchas', 'abl', 'thi', 'wa', 'thank', 'pleas', 'possibl', 'open', 'brochur', 'canva', 'design', 'access', 'suggest', 'search', 'know', 'complet', 'blank']"
"['page', 'problem', '100', 'describ', 'type', 'kind', 'open', 'issu', 'canva', 'make', 'document', 'blank', 'way', 'work', 'ani', 'duplic', 'help', 'onli', 'hello', 'file', 'thi', 'tri', 'just', 'need', 'main', 'program', 'number', 'doe', 'leav', 'allow']"
"['link', 'problem', 'canva', 'click', 'websit', 'extern', 'leav', 'describ', 'thi', 'page', 'kind', 'issu', 'affili', 'help', 'doe', 'site', 'need', 'creat', 'document', 'make', 'want', 'straight', 'type', 'profil', 'open', 'thank', 'come', 'present', 'say', 'user']"
"['phone', 'comput', 'cell', 'problem', 'type', 'use', 'canva', 'help', 'describ', 'access', 'ca', 'pro', 'appear', 'need', 'doe', 'differ', 'updat', 'app', 'like', 'account', 'applic', 'kind', 'option', 'format', 'wa', 'templat', 'anoth', 'issu', 'design', 'sync']"
"['pay', 'problem', 'describ', 'issu', 'kind', 'pro', 'canva', 'need', 'pleas', 'thi', 'fee', 'help', 'want', 'servic', 'account', 'whi', 'contact', 'subscript', 'month', 'say', 'email', 'lot', 'free', 'year', 'use', 've', 'member', 'sign', 'type', 'user']"
"['12', '95', 'charg', 'month', 'account', 'issu', 'thi', 'kind', 'problem', 'pleas', 'thank', 'describ', 'wa', 'canva', 'subscript', 'number', 'card', 'monthli', 'use', 'sign', 'ha', 'pro', 'email', 'help', 'cancel', 'howev', 'purchas', 'hello', '99', 'need']"
"['afternoon', 'good', 'problem', 'relat', 'help', 'type', 'describ', 'ca', 'number', 'need', 'use', 'doe', 'thank', 'account', 'canva', 'like', 'pleas', 'thi', 'contact', 'tri', 'appear', 'phone', 'subscript', 'design', 'present', 'wa', 'make', 'pro', 'releas', 'card']"
"['sign', 'need', 'help', 'pro', 'account', 'ca', 'problem', 'use', 'thi', 'canva', 'describ', 'kind', 'tri', 'did', 'issu', 'appear', 'alreadi', 'phone', 'accident', 'pleas', 'cancel', 'type', 'email', 'activ', 'trial', 'hi', 'time', 'access', 'end', 'comput']"
"['person', 'account', 'team', 'help', 'need', 'want', 'busi', 'chang', 'problem', 'onli', 'issu', 'kind', 'like', 'describ', 'pro', 'add', 'cancel', 'thank', 'switch', 'student', 'possibl', 'canva', 'pleas', 'compani', 'hello', 'use', 'longer', 'say', 'appli', 'just']"
"['error', 'problem', 'describ', 'kind', 'messag', 'issu', 'canva', 'tri', 'pro', '503', 'type', '403', 'occur', 'unexpect', 'registr', 'say', 'purchas', 'help', 'subscript', 'forbidden', 'enter', 'need', 'access', 'pleas', 'ca', 'use', 'open', 'ha', 'save', 'document']"
"['upgrad', 'tri', 'error', 'say', 'contact', 'support', 'pro', 'issu', 'problem', 'messag', 'kind', 'describ', 'occur', 'canva', 'card', 'subscrib', 'persist', 'differ', 'account', 'time', 'help', 'pleas', 'everi', 'receiv', 'let', 'moment', 've', 'plan', 'unabl', 'hi']"
"['need', 'issu', 'problem', 'kind', 'describ', 'help', 'asap', 'pleas', 'make', 'postcard', 'mail', 'thi', 'thank', 'account', 'possibl', 'renew', 'direct', 'form', 'urgent', 'purchas', 'just', 'color', 'letter', 'invoic', 'confirm', 'contact', 'inquiri', 'high', 'resolv', 'soon']"
"['payment', 'issu', 'problem', 'kind', 'describ', 'pleas', 'account', 'card', 'thank', 'contact', 'email', 'method', 'want', 'regard', 'assist', 'number', 'hello', 'like', 'charg', 'need', 'did', 'someon', 'credit', 'trail', 'option', 'pend', 'pro', 'monthli', 'thi', 'activ']"
"['print', 'problem', 'need', 'issu', 'describ', 'kind', 'help', 'contact', 'order', 'like', 'flyer', 'just', 'paper', 'number', 'pleas', 'label', 'someon', 'contract', 'want', 'thank', 'qualiti', 'option', 'know', 'job', 'differ', 'hi', 'canva', 'pdf', 'size', 'email']"
"['url', 'problem', 'kind', 'thi', 'world', 'support', '19', 'covid', 'accur', 'spread', 'issu', 'email', 'resourc', 'describ', 'commun', 'messag', 'number', 'design', 'inform', 'share', 'help', 'pleas', 'thank', 'hi', 'empow', 'canva', 'document', 'link', 'need', 'sent']"
"['edit', 'problem', 'kind', 'issu', 'describ', 'templat', 'ca', 'unabl', 'help', 'infograph', 'resum', 'past', 'pc', 'app', 'design', 'like', 'make', 'report', 'flyer', 'canva', 'correct', 'imag', 'let', 'connect', 'need', 'time', 'pro', 'phone', 'doe', 'blank']"
"['mobil', 'version', 'phone', 'want', 'use', 'old', 'problem', 'canva', 'new', 'need', 'kind', 'help', 'describ', 'issu', 'updat', 'switch', 'app', 'slow', 'chang', 'veri', 'like', 'thi', 'complic', 'pleas', 'view', 'prefer', 'laptop', 'devic', 'normal', 'harder']"
"['remov', 'team', 'problem', 'kind', 'describ', 'want', 'issu', 'account', 'need', 'pleas', 'pro', 'canva', 'hello', 'member', 'thank', 'contact', 'longer', 'creat', 'help', 'thi', 'ca', 'whi', 'type', 'number', 'clean', 'email', 'admin', 'heard', 'click', 'subscript']"
"['invit', 'team', 'accept', 'problem', 'peopl', 'receiv', 'join', 'describ', 'kind', 'issu', 'account', 'need', 'help', 'canva', 'member', 'pro', 'doe', 'access', 'person', 'work', 'email', 'messag', 'whi', 'approv', 'say', 'ani', 'someon', 'use', 'type', 'ca']"
"['old', 'version', 'canva', 'want', 'need', 'help', 'pleas', 'problem', 'issu', 'kind', 'describ', 'app', 'switch', 'new', 'revert', 'phone', 'thi', 'prefer', 'like', 'use', 'account', 'thank', 'design', 'hour', 'pl', 'anyth', 'link', 'refer', 'perfect', 'canv']"
"['version', 'new', 'older', 'thi', 'user', 'pleas', 'help', 'problem', 'friendli', 'need', 'kind', 'issu', 'want', 'describ', 'use', 'hate', 'pro', 'difficult', 'phone', 'pl', 'applic', 'veri', 'canva', 'old', 'android', 'purchas', 'addit', 'paid', 'chang', 'app']"
"['set', 'account', 'issu', 'kind', 'thi', 'describ', 'problem', 'canva', 'need', 'want', 'pleas', 'hi', 'team', 'mail', 'size', 'help', 'confus', 'receiv', 'dont', 'thank', 'properli', 'inform', 'email', 'make', 'wa', 'cancel', 'sure', 'subscript', 'address', 'michel']"
"['invit', 'need', 'help', 'member', 'account', 'team', 'pro', 'friend', 'email', 'ca', 'use', 'know', 'sent', 'someon', 'receiv', 'canva', 'user', 'hi', 'want', 'did', 'peopl', 'link', 'ad', 'notif', 'say', 'like', 'issu', 'ha', 'whi', 'address']"
"['group', 'problem', 'element', 'describ', 'kind', 'help', 'option', 'issu', 'join', 'need', 'type', 'leav', 'want', 'unabl', 'know', 'ca', 'user', 'team', 'ive', 'like', 'togeth', 'mistak', 'miss', 'remov', 'canva', 'disconnect', 'bar', 'anymor', 'fb', 'encount']"
