top_words
"['let', 'wo', 'problem', 'save', 'kind', 'edit', 'describ', 'issu', 'design', 'error', 'download', 'say', 'anyth', 'wont', 'continu', 'text', 'file', 'help', 'work', 'present', 'thing', 'imag', 'thi', 'tri', 'document', 'canva', 'make', 'chang', 'need', 'word']"
"['pdf', 'save', 'problem', 'describ', 'kind', 'download', 'issu', 'format', 'file', 'want', 'type', 'option', 'ca', 'document', 'need', 'design', 'convert', 'imag', 'form', 'doe', 'shift', 'thi', 'unabl', 'like', 'creat', 'page', 'present', 'mess', 'chang', 'onli']"
"['present', 'save', 'problem', 'describ', 'kind', 'issu', 'slide', 'error', 'type', 'download', 'edit', 'wa', 'ca', 'video', 'file', 'need', 'relat', 'doe', 'work', 'open', 'hello', 'page', 'start', 'make', 'thi', 'content', 'music', 'tri', 'audio', '100']"
"['open', 'design', 'problem', 'file', 'save', 'ca', 'edit', 'describ', 'issu', 'blank', 'kind', 'type', 'error', 'click', 'tri', 'page', 'new', 'creat', 'doe', 'screen', 'thi', 'work', 'window', 'say', 'renam', 'browser', 'option', 'close', 'canva', 'just']"
"['photo', 'save', 'problem', 'describ', 'kind', 'design', 'anim', 'type', 'issu', 'insert', 'download', 'ca', 'doe', 'project', 'want', 'whi', 'blank', 'templat', 'pleas', 'replac', 'use', 'help', 'imag', 'phone', 'gif', 'black', 'miss', 'way', 'submit', 'edit']"
"['connect', 'internet', 'save', 'problem', 'issu', 'say', 'stabl', 'kind', 'describ', 'design', 'work', 'chang', 'tri', 'browser', 'good', 'fine', 'error', 'download', 'paus', 'manual', 'just', 'chrome', 'thi', 'canva', 'date', 'time', 'bar', 'fast', 'ha', 'ani']"
"['messag', 'error', 'reload', 'design', 'save', 'page', 'occur', 'pleas', 'tri', 'issu', 'kind', 'open', 'problem', 'describ', 'pop', 'say', 'edit', 'close', 'time', 'access', 'work', 'thi', 'click', 'ca', 've', 'help', 'everi', 'load', 'thank', 'project']"
"['project', 'problem', 'save', 'kind', 'describ', 'open', 'ca', 'issu', 'pleas', 'load', 'doe', 'edit', 'download', 'report', 'becaus', 'help', 'work', 'start', 'differ', 'wa', 'page', 'thi', 'visibl', 'chang', 'error', 'hi', 'whi', 'thank', 'want', 'creat']"
"['descript', 'problem', 'save', 'kind', 'imag', 'unabl', 'download', 'video', 'file', 'ca', 'edit', 'error', 'whi', 'pictur', 'know', 'blur', 'incid', 'want', 'chang', 'design', 'photo', 'display', 'purchas', 'camera', 'roll', 'size', 'card', 'miss', 'devic', 'disappear']"
"['doe', 'problem', 'save', 'allow', 'describ', 'kind', 'work', 'type', 'download', 'design', 'edit', 'option', 'program', 'file', 'issu', 'error', 'anim', 'make', 'time', 'happen', 'chang', 'finish', 'continu', 'hello', 'canva', 'video', 'anyth', 'tri', 'let', 'page']"
"['save', 'issu', 'kind', 'describ', 'problem', 'file', 'want', 'download', 'url', 'hello', 'thi', 'long', 'manual', 'load', 'noth', 'phone', 'just', 'creat', 'canva', 'ha', 'work', 'edit', 'design']"
"['appear', 'save', 'problem', 'type', 'describ', 'design', 'doe', 'photo', 'imag', 'error', 'anim', 'onli', 'kind', 'messag', 'download', 'file', 'text', 'screen', 'project', 'gif', 'open', 'edit', 'tri', 'hello', 'option', 'ca', 'chang', 'longer', 'video', 'just']"
"['delet', 'problem', 'describ', 'kind', 'design', 'save', 'wa', 'accident', 'issu', 'work', 'type', 'page', 'restor', 'everyth', 'file', 'got', 'mistak', 'ha', 'templat', 'project', 'just', 'pleas', 'help', 'trash', 'did', 'hello', 'undo', 'need', 'job', 'account']"
"['color', 'save', 'element', 'chang', 'black', 'problem', 'describ', 'origin', 'design', 'kind', 'issu', 'type', 'differ', 'white', 'onli', 'correct', 'imag', 'icon', 'logo', 'doe', 'item', 'app', 'alway', 'thi', 'red', 'phone', 'default', 'hello', 'work', 'select']"
"['element', 'save', 'problem', 'describ', 'kind', 'design', 'issu', 'type', 'place', 'imag', 'colour', 'chang', 'download', 'tri', 'black', 'miss', 'doe', 'photo', 'edit', 'want', 'text', 'video', 'anim', 'onli', 'appear', 'hello', 'thi', 'ca', 'white', 'pleas']"
"['ani', 'design', 'problem', 'issu', 'kind', 'save', 'describ', 'way', 'edit', 'help', 'open', 'creat', 'work', 'canva', 'hi', 'ca', 'chang', 'unabl', 'page', 'project', 'blank', 'error', 'thank', 'pleas', 'tri', 'abl', 'make', 'wa', 'type', 'file']"
"['folder', 'save', 'problem', 'describ', 'kind', 'design', 'issu', 'creat', 'type', 'comput', 'work', 'empti', 'new', 'tri', 'ca', 'want', 'templat', 'file', 'anoth', 'imag', 'open', 'thank', 'item', 'canva', 'pleas', 'dont', 'say', 'photo', 'thi', 'use']"
"['save', 'problem', 'describ', 'kind', 'design', 'issu', 'file', 'want', 'work', 'miss', 'hello', 'explain', 'report', 'canva', 'pleas', 'differ', 'download', 'thi']"
"['templat', 'save', 'problem', 'kind', 'describ', 'issu', 'design', 'wa', 'work', 'want', 'thi', 'page', 'tri', 'restor', 'open', 'present', 'chang', 'origin', 'type', 'miss', 'creat', 'anoth', 'gone', 'edit', 'file', 'onli', 'hello', 'finish', 'use', 'add']"
